Item,Type,Quantity,Calories,Carbohydrate,Fat,Protein
alum powder,Non-Alum, 50 g,178,43g,0g,0g
alum powder,biovela, 100 gram,210,3g,16g,14g
frozen green peas,Frozen, 89 g,70,12g,0g,5g
frozen green peas,Kroger, 0.666667 c,70,12g,0g,5g
pistachio,Pistachio Nuts, 1 oz (28 g.),160,8g,13g,6g
pistachio,Magnum, 1 portion,280,26g,19g,0g
pistachio,Ben & Jerry's, 100 g,260,21g,17g,5g
chickpeas,chickpeas, 1 tablespoon,46,8g,1g,2g
chickpeas,Chickpeas Tesco, 220 g,360,60g,6g,20g
chickpeas,Edgell Chickpeas, 80 g,110,18g,2g,7g
Black lentils,Lentils,,304,41g,2g,23g
Black lentils,Black lentils, 35 g,120,22g,1g,8g
Black lentils,Generic, 0.25 cup,170,30g,1g,13g
coconut oil,Oil, 1 tbs,120,0g,14g,0g
coconut oil,A1 Coconut Oil, 30 g,118,0g,27g,0g
salt,Salt, 1 g,0,0g,0g,0g
salt,Salt, 1 Tablespoons,0,0g,0g,0g
pork,Pork, 4 oz,120,1g,3g,23g
pork,Pork, 4 oz,130,1g,5g,23g
pork,Pork Patties, 2 patties,140,1g,9g,12g
prawns,Prawns, 100 g,115,0g,1g,23g
prawns,Prawns, 1 prawn,9,0g,0g,2g
prawns,Battered Prawns, 150 gr,240,31g,10g,18g
red food coloring,Generic, 1 t,0,0g,0g,0g
red food coloring,Mccormick, 1 drop,0,0g,0g,0g
red food coloring,Great Value Gel Food Coloring, 1 tsp,15,4g,0g,0g
Citric acid,Citric acid, 1 gram,0,0g,0g,0g
Citric acid,Generic, 1 tbsp(s),0,0g,0g,0g
Citric acid,Nuts.com, 100 g (3.5 oz),2,0g,0g,0g
low fat,Low Fat Butter, 10 gms,54,0g,6g,1g
low fat,Physical Low Fat, 1 cup,129,13g,3g,12g
low fat,Pauls - Physical - Low Fat., 100 ml,42,6g,0g,4g
thick poha,swad thick poha, 51 gm,180,38g,1g,4g
thick poha,Asli poha, 28 gms,100,22g,0g,2g
thick poha,Bansi, 28 g (1oz),90,21g,0g,2g
egg yolks,Egg Yolks (JLDN), 30 g - 1 oz,91,1g,8g,5g
egg yolks,6 Egg Whites, 3 Yolks,286,1g,18g,30g
egg yolks,Myprotein, 15 grams,100,1g,9g,5g
Sev,Sev, 1 cup,250,17g,19g,7g
Sev,Regular Sev, 1 tbsp,180,10g,14g,4g
Sev,Bhel sev, 0.5 cup,549,32g,46g,14g
chenna cheese,Cooked Chenna Brown, 1 cup,0,0g,0g,0g
chenna cheese,Homemade, 1 cup,150,10g,9g,8g
chenna cheese,Homemade, 50 gm,260,0g,0g,0g
mutton,Mutton, 100 grams,294,0g,21g,25g
mutton,Fried Mutton, 100 g,235,0g,14g,26g
mutton,Biryani-mutton, 439.3 G,640,80g,23g,10g
Kala chana,KTC Kala Chana, 100 grams,115,16g,3g,7g
Kala chana,Devi Kala Chana, 50 gram,81,14g,1g,4g
Kala chana,Indian - Kala Chana, 164 g (1 cup),300,60g,8g,15g
elachi,Tetley, 1 cup,92,4g,0g,19g
elachi,Verka, 100 ml,83,11g,3g,3g
elachi,heritage, 100 g,84,14g,2g,3g
litre milk,Avonmore, 100 ml,49,5g,1g,5g
litre milk,Supervalu, 200 ml,128,10g,7g,7g
litre milk,Centra, 100 ml,64,5g,4g,3g
nestle cream,Nestle Tin Cream, 1 tbsp,40,0g,4g,0g
nestle cream,Nestle, 3 container,30,4g,2g,0g
nestle cream,Nestle, 1 bar,90,18g,2g,1g
Meat curry powder,Baba's, 100 g,414,52g,16g,15g
Meat curry powder,gbabas) meat curry powder, 101 g,368,54g,18g,16g
Meat curry powder,meat curry powder (babas), 101 g,368,54g,18g,16g
Tea leaves,Tea, 1 l,0,0g,0g,0g
Tea leaves,Tea, 1 tea bag,0,0g,0g,0g
Tea leaves,Green Tea + Mint Leaves, 1 cup,0,0g,0g,0g
desiccated coconut,Coles Desiccated Coconut, 45 g,684,8g,67g,7g
desiccated coconut,desiccated coconut, 100 gram,711,7g,69g,7g
desiccated coconut,Evolution, 100 g,640,6g,62g,6g
fresh coconut,Fresh -, 1 cup,46,9g,1g,2g
fresh coconut,Fresh From Coconut, 1 coconut,46,9g,0g,0g
fresh coconut,Generic, 1 cup,283,12g,27g,3g
Beaten rice flakes,Kathmandu taichin rice flakes, 100 g,360,78g,2g,8g
Beaten rice flakes,Red beaten rice (Taichung Chiura), 50 grams,100,20g,1g,3g
Beaten rice flakes,Uttam, 100 gram,363,86g,1g,7g
Tomato,beefsteak tomato, 1 medium,25,5g,0g,1g
Tomato,Tomato, 1 (148 grams),35,7g,1g,1g
sauce,Sauce, 1 cup,70,10g,2g,2g
sauce,Zaxby's sauce, 1 package,180,6g,17g,0g
sauce,Diana Sauce, 2 Tbsp,60,15g,0g,0g
imli,Imli, 200 g,320,80g,0g,0g
imli,Pani Puri imli, 100 gram,58,16g,0g,0g
imli,imli goli, 5 gram,75,4g,0g,0g
red chilli,Red Chilli (fresh) Ballapaddag, 1 full chilli,12,0g,0g,0g
red chilli,Red Robin, 1 Plate,1954,130g,132g,62g
red chilli,Anita's Red Deer Chilli, 0.5 c,55,10g,0g,3g
steamer,Green Gaint Valley Steamer, 0.5 cup,45,8g,1g,2g
steamer,Bird's Eye, 1 cup,50,6g,2g,2g
steamer,Generic, 14 clams,70,3g,4g,7g
ginger and garlic,garlic and ginger paste, 100 g,187,41g,1g,7g
ginger and garlic,Tooba, 1 TBSP. 20g,25,3g,1g,1g
ginger and garlic,Pattu Ginger Garlic, 10 g,6,1g,0g,0g
water,Karma Water, 18 oz.,20,5g,0g,0g
water,Vitamin water, 591 ml,120,33g,0g,0g
toor dal,Toor Dal, 1 cup,198,26g,6g,10g
toor dal,Toor Ki Dal, 236 Gms,194,29g,5g,11g
toor dal,Toor Dal Soup, 1 Bowl,103,17g,3g,4g
french beans,French beans, 3 oz,25,6g,1g,2g
french beans,French Beans, 100 grams,31,7g,0g,1g
french beans,French Green Beans (Costco), 1 cup,30,3g,0g,3g
Amaranth leaves,Homemade, 1 cup Sauteed,28,5g,0g,3g
Amaranth leaves,Generic, 1 cup coocked,225,0g,0g,0g
avocado oil,Olivari Oil - Avocado Oil, 15 ml (tbsp),41,0g,5g,0g
avocado oil,Avocado Oil, 5 ml,45,0g,5g,0g
cashews,Cashews, 0.25 cup,160,8g,13g,5g
cashews,Cashews, 0.25 cup,160,8g,12g,5g
curd,Curd, 100 gms,61,5g,3g,4g
curd,Curd Rice, 1 cup cooked,300,41g,6g,17g
curd,Cheese curd, 1 oz,110,0g,9g,7g
Ladies finger,Generic, 1 cup,25,6g,0g,2g
Ladies finger,Homemade, 1 cup cooked,214,26g,14g,8g
Ladies finger,ingy, 100 gram,44,9g,0g,2g
tomato,beefsteak tomato, 1 medium,25,5g,0g,1g
tomato,Tomato, 1 (148 grams),35,7g,1g,1g
Thin rice flakes,Rice flakes, 100 g,98,23g,0g,2g
Thin rice flakes,Bavan, 50 g,180,38g,0g,6g
Thin rice flakes,Real, 0.25 cup,85,16g,1g,3g
honey,Honey, 0.5 oz,43,12g,0g,0g
honey,Coles honey, 25 g,84,21g,0g,0g
panch phoran masala,Maharaja, 25 gram,127,12g,7g,4g
panch phoran masala,Vegan Kitchen, 1.5 Cups,193,34g,1g,15g
panch phoran masala,Fat Free Vegan, 0.167 of receipe,193,34g,1g,15g
sabudana,Upvas, 50 g,170,43g,0g,0g
sabudana,Khichadi, 100 g,299,45g,12g,4g
sabudana,Swad, 25 g,88,22g,0g,0g
Canned coconut milk,tesco coconut milk (canned), 90 grams,170,2g,17g,1g
Canned coconut milk,Canned, 100 ml,188,3g,20g,2g
Canned coconut milk,Goya, 0.25 cup,100,2g,9g,2g
white sesame seeds,Sprouts White Sesame Seeds, 1.4 oz,250,8g,20g,9g
white sesame seeds,sesame seeds, 1 tbls,105,3g,10g,0g
white sesame seeds,Roasted, 0.25 cup,206,9g,18g,7g
surti papdi,Surati, 130 gram,80,12g,0g,8g
surti papdi,Indian - Swad, 4.5 oz,104,16g,0g,10g
surti papdi,Deep, 130 gm/4.5oz,104,16g,0g,10g
Split pigeon peas,Roshni, 100 g,164,27g,3g,9g
Split pigeon peas,Sheel, 1 cup,345,0g,0g,0g
Split pigeon peas,Nirav, 0.5 cup,390,65g,4g,24g
split urad dal,indican, 2 cup,340,60g,2g,22g
split urad dal,ankur, 100 gram,325,50g,4g,22g
split urad dal,Bloom, 100 gram,347,60g,1g,24g
hot water,Water, 1 tsp,0,0g,0g,0g
hot water,Water hot, 100 g,427,49g,22g,8g
hot water,Hot Water, 1 cup,0,0g,0g,0g
soy sauce,Publix Soy Sauce, 1 tablespoon,10,1g,0g,1g
soy sauce,Soy Sauce, 1 tbs,10,1g,0g,1g
Condensed milk,Condensed Milk, 1 cup,210,44g,0g,4g
Condensed milk,Milk - Condensed Milk, 100 g,321,54g,9g,8g
Condensed milk,Magnolia, 1 fluid ounce,130,22g,3g,3g
Cucumber,Cucumber, 1 larger,34,6g,0g,2g
Cucumber,Small Cucumber, 1 cup,19,3g,0g,1g
Garam masala powder,Garam Masala, 15 grams,46,9g,2g,2g
Garam masala powder,Swad, 5 g,25,3g,1g,1g
Garam masala powder,Mehran, 6 gram,19,3g,1g,1g
wild mushrooms,Wild, 5 medium mushrooms,30,3g,0g,2g
wild mushrooms,Tesco, 100 g,16,0g,1g,2g
wild mushrooms,Wild Mushrooms, 0.5 bag,130,6g,11g,3g
chickpea flour,Chickpea flour, 100 g,358,52g,5g,23g
chickpea flour,Bob's Red Mill - Chickpea Flour, 0.25 cup (30g),120,16g,2g,5g
pearl millet flour,Pearl millet flour, 0.5 cup,110,23g,1g,3g
pearl millet flour,Heera, 100 gram,378,73g,4g,11g
pearl millet flour,Ak, 100 gm,382,75g,4g,11g
Baingan,Homemade, 1 serving,97,21g,12g,3g
Baingan,Homemade, 226.3 g,178,14g,14g,2g
Baingan,Homemade, 1 (599 g),178,34g,4g,8g
Dry fruits,Fruits, 28 gram,61,14g,0g,1g
Dry fruits,Dry fruits, 0.333333 cup,200,32g,7g,4g
Dry fruits,Dry Fruits, 100 g,341,82g,0g,1g
cashews and raisins,Cashews and raisins, 50 g,213,28g,10g,5g
cashews and raisins,Bazzini, 28 g,110,18g,4g,2g
cashews and raisins,Co-Op Jumo Flame Raisins and Cashews, 25 g,105,0g,4g,0g
Coconut,Coconut flour, 2 tbsp,60,8g,2g,2g
Coconut,Coconut flakes, 1 tsp,70,7g,5g,1g
Coconut,Coconut Dream, 8 oz.,60,3g,5g,1g
mustard seed,Generic, 4 g,20,1g,1g,1g
mustard seed,Spices~Jen's, 1 tsp,15,1g,1g,1g
condensed milk,Condensed Milk, 1 cup,210,44g,0g,4g
condensed milk,Milk - Condensed Milk, 100 g,321,54g,9g,8g
condensed milk,Magnolia, 1 fluid ounce,130,22g,3g,3g
bhatura,bhatura, 1 piece,220,28g,9g,7g
bhatura,Homemade, 1 bhatura,230,32g,9g,5g
bhatura,Ashoka, 1 piece,210,26g,9g,4g
long beans,Frieda's, 100 grams,47,8g,0g,2g
long beans,Generic, 1 cup fried,40,7g,4g,5g
long beans,Raw, 100 g,47,8g,1g,3g
kewra,Vadilal, 1 Cup,234,22g,14g,6g
kewra,Generic Kewra, 1 cup,100,1g,1g,50g
Forbidden black rice,Forbidden, 1 cup,160,34g,2g,5g
Forbidden black rice,Forbidden, 100 g,339,71g,1g,9g
Forbidden black rice,Forbidden Foods, 100 g,339,71g,2g,9g
eggplant,Eggplant, 1 cup cubes,33,8g,0g,1g
eggplant,Eggplant Dip, 1 oz,80,0g,0g,0g
eggplant,Eggplant - Baked, 100 g,25,6g,0g,0g
fenugreek seeds,fenugreek seeds, 1 gram,323,58g,6g,23g
fenugreek seeds,Sprouted Methi (Fenugreek Seeds), 1 tea Spoon,12,0g,0g,1g
fenugreek seeds,Karyn's, 1 tsp,12,2g,0g,1g
coconut ice,Bulla, 1 (59g),132,13g,8g,2g
coconut ice,Coconut ice, 20 gram,92,14g,4g,1g
coconut ice,Coconut Bliss, 95 g,210,18g,14g,2g
Rice,rice, 100 g,171,31g,3g,4g
Rice,quinoa rice, 1 cup,240,47g,4g,6g
Rice,Rice Bowl, 45 g,160,35g,0g,3g
rapeseed oil,Donegal Rapeseed Oil Co., 5 ml,41,0g,5g,0g
rapeseed oil,Rutland rapeseed oil, 100 ml,889,1g,98g,0g
rapeseed oil,Aldi Rapeseed Oil, 15 ml,123,1g,14g,1g
mustard green,Veggies, 56 grams,15,3g,0g,2g
mustard green,Green Mountain Mustard, 1 tsp,10,0g,1g,0g
mustard green,Green Mountain Mustard, 1 tsp,10,1g,0g,0g
whipping cream,Pilos Whipping Cream, 100 ml,293,3g,30g,3g
whipping cream,Lowes Whipping Cream, 1 tbsp,45,0g,5g,0g
whipping cream,Whipping Cream, 1 tbsp,50,0g,5g,0g
chopped tomatoes,Chopped Tomatoes, 100 g,23,4g,0g,1g
chopped tomatoes,Chopped Tomatoes, 100 gram,21,3g,0g,1g
chopped tomatoes,Tesco Finely Chopped Tomatoes, 100 g,25,4g,0g,1g
cardamom,1 tsp, ground,311,68g,7g,11g
cardamom,Tea India - Cardamom Tea, 1 packet (22g),100,17g,3g,2g
cardamom,Generic, 100 gr,311,68g,7g,11g
cinnamon,Cinnamon (JLDN), 1 tbsp - 8g - .3 oz,20,2g,0g,0g
cinnamon,Cinnamon, 1 tsp,6,1g,0g,0g
dry coconut,Coconut Dry, 100 gm,354,15g,33g,3g
dry coconut,Dessicated Coconut, 6 teaspoons,187,7g,18g,2g
dry coconut,Khobra, 100 gm,352,0g,0g,0g
Fennel,Fennel, 100 g,31,7g,0g,1g
Fennel,Fennel Homemade, 100 g,12,2g,0g,1g
Fennel,Fennel (Website), 1 cup,27,6g,0g,1g
flour,Flour, 100 g,351,76g,2g,8g
tea bags,Lipton, 1 cup,0,0g,0g,0g
tea bags,Yorkshire Tea, 1 cup,1,0g,0g,0g
tea bags,Tenderleaf Tea Bags, 13 oz,0,0g,0g,0g
baby potatoes,Tesco - Baby Potatoes, 100 grams,71,15g,0g,2g
baby potatoes,Melissa's Baby Red Potatoes, 0.75 cup,131,31g,0g,3g
baby potatoes,Melissa's Baby Red Potatoes, 1 container (6 cup,131,31g,0g,3g
red chili,Red Robin, 1 cup,220,16g,10g,15g
red chili,Bueno, 0.25 cup,20,5g,1g,1g
red chili,Red Robin, 1 burger,880,56g,50g,51g
Bottle gourd,Desi, 100 g,12,2g,0g,0g
Bottle gourd,Homemade, 1 glass - bottle gourd juice,22,5g,0g,1g
Bottle gourd,Homemade, 1 cup cooked,37,7g,1g,1g
elephant foot yam,Surati, 130 g,110,25g,0g,2g
elephant foot yam,Surati, 130 g,110,25g,0g,2g
elephant foot yam,blue elephant, 125 g,71,8g,3g,1g
dry dates,Dry dates, 50 g,70,16g,0g,1g
dry dates,dates, 50 gr,41,0g,50g,0g
dry dates,Egyptian dates, 25 g,50,10g,1g,1g
poppy seeds,Poppy Seeds, 100 g,533,24g,45g,18g
poppy seeds,Black Poppy Seeds, 1 tbsp,46,2g,4g,0g
poppy seeds,Mccormick, 1 Tablespoon,47,2g,4g,2g
spinach,Spinach, 25 grams,20,3g,0g,2g
spinach,Cooking with Spinach, 1.5 Cups,20,3g,0g,2g
Brown rice,Homemade Brown Rice, 1 Cup Cooked,150,32g,1g,3g
Brown rice,Walmart Brown Rice, 1 cup,150,33g,1g,4g
Brown rice,Brown Jasmin Rice, 1 oz,107,23g,1g,3g
Whole wheat rava,Homemade, 1 cup (50g),164,36g,1g,6g
Whole wheat rava,Indian, 100 gms,367,66g,2g,9g
Whole wheat rava,Pro Nature, 1 Cup,198,40g,1g,7g
shimla mirch,Generic, 1 cup cooked,133,27g,2g,4g
shimla mirch,Homemade, 1 cup cooked,284,6g,24g,13g
shimla mirch,Indian, 100 g,93,13g,3g,2g
skimmed milk powder,Regilait, 100 g,359,52g,1g,36g
skimmed milk powder,Marvel, 100 g,346,50g,1g,35g
skimmed milk powder,Miro, 100 gm,361,53g,1g,32g
jaggery,Jaggery, 1 tsp,15,4g,0g,0g
jaggery,Viola- Jaggery/gur, 100 gm,383,95g,0g,0g
jaggery,Indian, 100 g,358,85g,0g,0g
Biryani masala,Mdh Hyderabadi Biryani Masala, 5 g,7,2g,1g,1g
Biryani masala,Radhuni, 10 g,37,6g,1g,1g
Biryani masala,Shaan Sindhi Biryani, 1 pack,290,40g,10g,10g
bitter gourd,Homemade, 100 grams,17,4g,0g,1g
bitter gourd,Bitter Gourd (Ampalaya), 1 cup,156,14g,10g,7g
bitter gourd,Bitter gourd (karela)sabzi, 1 burger,555,29g,26g,49g
ginger powder,Ginger, 1 tbsp,19,4g,0g,0g
ginger powder,Shah Ginger powder, 1 tablespoon,35,7g,0g,0g
ginger powder,Wu Hsing, 10 g,0,0g,0g,0g
peas,Peas, 80 g,70,12g,1g,5g
peas,Canned peas, 0.333333 cup,60,10g,0g,4g
Kala masala,Kala Chana, 1 cup cooked,299,0g,0g,0g
Kala masala,Sb Kala Chana Masala, 1 katori /150 gm,110,18g,3g,4g
Kala masala,RK, 10 ml,33,1g,0g,0g
kitchen lime,Cindy's Kitchen, 1 Tbsp,30,5g,1g,0g
kitchen lime,Primal Kitchen, 1 Tbsp (15g),100,0g,11g,0g
kitchen lime,Stonewall Kitchen, 30 ml,15,3g,0g,0g
edible gum,Generic, 10 gms,40,9g,0g,0g
edible gum,Gum, 100 g,4,1g,0g,0g
edible gum,incredibles gum e blue Raspberry, 1 pkg,75,0g,0g,0g
maida flour,maida, 100 g,348,74g,0g,11g
maida flour,Indian Plain Flour, 1 (about 20g),90,18g,0g,3g
maida flour,Deep All Purpose Flour / Maida, 0.25 Cup 30g,110,23g,1g,3g
arrowroot powder,Generic, 1 tsp,35,7g,0g,0g
arrowroot powder,Krio, 2 gram,3,1g,0g,0g
arrowroot powder,Dad's, 100 gram,357,88g,0g,0g
wheat flour,whole wheat flour, 0.25 cup,110,21g,1g,4g
wheat flour,Flour, 1 cup,455,95g,0g,13g
wheat flour,wheat flour, 100 gram,350,77g,1g,9g
red chillies,Asda, 100 g,23,1g,1g,3g
red chillies,Sainsburys, 50 g,20,5g,1g,0g
red chillies,Sainsbury's, 1 container (200.00 g),29,4g,1g,2g
roasted gram flour,Nirav, 30 gram,111,17g,2g,7g
roasted gram flour,Roasted Gram, 100 grams,383,61g,6g,25g
roasted gram flour,East End Gram Flour, 100 g,359,52g,5g,22g
Semolina,Semolina Flour, 1 Cup,600,122g,2g,21g
Semolina,Shamrock Semolina, 100 g,339,66g,2g,13g
ghee,Ghee, 1 tsp,45,0g,5g,0g
ghee,Ghee (Clarified Butter), 1 Tbsp,135,0g,15g,0g
ghee,organic ghee, 1 tablespoon,117,0g,13g,0g
almond,Almond, 3 pieces,200,17g,15g,2g
almond,Hershey almond, 1 bar,210,21g,14g,4g
Mushroom,Mushroom, 70 g (about 5),20,3g,0g,3g
Mushroom,Mushroom, 10 Slices,20,2g,1g,1g
Mushroom,Mushroom Soup, 1 bowl,129,4g,10g,2g
besan,Besan, 100 g,387,58g,7g,22g
besan,Besan Pakodas, 1 cup fried,150,0g,0g,0g
besan,Swad, 100 g,364,61g,6g,19g
Sesame oil,Sesame Oil, 13.6 g,120,0g,14g,0g
Sesame oil,Kadoya, 1 Tb,130,0g,14g,0g
wine vinegar,Pc Rice Wine Vinegar, 1 Tablespoon,5,1g,0g,0g
wine vinegar,Colavita Champagne Wine Vinegar, 15 grams,3,0g,0g,0g
mustard seeds,Francuska, 1 tbsp,20,2g,1g,1g
mustard seeds,Swad Mustard Seeds, 5 gram,21,2g,1g,1g
mustard seeds,Generic, 1 tsp,7,1g,1g,1g
yoghurt,Nutriday Yoghurt, 175 g,97,17g,2g,3g
yoghurt,Yoghurt Bulgarian, 100 gms,62,42g,2g,3g
yoghurt,Yoghurt, 100 ml,33,4g,0g,5g
gur,Gur Shakar, 100 g,565,25g,45g,19g
gur,Gur, 20 gram,74,16g,1g,0g
gur,Amritsari masala gur, 25 g,50,14g,0g,0g
fish,fish, 4 oz,100,1g,3g,20g
fish,Fish sticks, 6 sticks,220,24g,9g,9g
fish,gold fish, 1 cup,140,20g,5g,4g
Rice flakes,Rice flakes, 100 gram,353,73g,3g,8g
Rice flakes,Phoha, 1 plate,360,0g,6g,7g
Rice flakes,Goma rice flakes, 1 piece,51,8g,2g,1g
sambar powder,Generic, 1 cup,184,30g,4g,9g
sambar powder,Brahmins Sambar powder, 15 gram,60,8g,2g,2g
sambar powder,Mtr, 15 grams,54,7g,2g,3g
drumsticks,Drumsticks, 100 g,161,0g,9g,19g
drumsticks,Kip drumsticks, 100 gr,116,0g,4g,19g
drumsticks,Turkey Drumsticks, 1 oz,43,0g,2g,6g
rice flour,Rice flour, 100 g,363,80g,1g,5g
Arbi ke patte,Desi, 100 g,56,7g,1g,4g
Arbi ke patte,Patte, 200 g,471,59g,22g,9g
Arbi ke patte,patte, 100 gramme,350,72g,2g,14g
potol,Homemade, 0.5 bowl(175 g),120,9g,6g,4g
potol,India, 1 cup (~8 Parwal halves),45,6g,0g,5g
potol,Ibco Brand, 100 gram,19,4g,1g,2g
Baby potatoes,Tesco - Baby Potatoes, 100 grams,71,15g,0g,2g
Baby potatoes,Melissa's Baby Red Potatoes, 0.75 cup,131,31g,0g,3g
Baby potatoes,Melissa's Baby Red Potatoes, 1 container (6 cup,131,31g,0g,3g
dates,Juicy Dates, 100 gram,267,61g,0g,1g
dates,Majdool Dates, 2 cups,1004,18g,0g,0g
dates,Red Dates, 50 g,90,35g,0g,1g
Sugar,Sugar, 1 teaspoon,15,4g,0g,0g
Sugar,Organic sugar, 1 tsp,15,4g,0g,0g
Jowar flour,Swad, 30 gms,113,23g,1g,3g
Jowar flour,Jowar / Sorghum / Milo Flour, 4 pieces cooked - 1 cup raw - 192g,651,143g,6g,21g
Jowar flour,Generic, 100 g,329,75g,3g,11g
cashew nuts,Cashew Nuts Crackers, 4 pieces,144,14g,9g,1g
cashew nuts,Waitrose cashew nuts, 100 gram,582,27g,44g,18g
cashew nuts,Cashew Nuts, 1 oz (28 grams),155,9g,12g,5g
Besan,Besan, 100 g,387,58g,7g,22g
Besan,Besan Pakodas, 1 cup fried,150,0g,0g,0g
Besan,Swad, 100 g,364,61g,6g,19g
filling,Oreo, 1 Oreo (filling only),20,3g,2g,0g
filling,apple pie filling, 81 g,100,25g,0g,0g
filling,Filling, 100 gram,270,1g,25g,11g
Split urad dal,indican, 2 cup,340,60g,2g,22g
Split urad dal,ankur, 100 gram,325,50g,4g,22g
Split urad dal,Bloom, 100 gram,347,60g,1g,24g
beans,Kidney beans, 1 cup,110,20g,1g,7g
beans,Ranch beans, 1 cup,140,22g,3g,6g
beans,Refried Beans, 0.5 cup,100,18g,1g,6g
greek yogurt,Lidl Greek Yogurt, 8 oz,122,3g,11g,5g
greek yogurt,yoplait greek yogurt, 5.3 oz,139,8g,9g,6g
greek yogurt,Skotidakis Greek Yogurt, 150 g,110,15g,0g,12g
sweet,Sweet, 1 sweet,30,0g,0g,0g
sweet,Sweet Tea, 3 cups,100,25g,0g,0g
sweet,Sweet peas, 0.25 cup,70,12g,1g,4g
coconut,Coconut flour, 2 tbsp,60,8g,2g,2g
coconut,Coconut flakes, 1 tsp,70,7g,5g,1g
coconut,Coconut Dream, 8 oz.,60,3g,5g,1g
malvani masala,Homemade, 1 Cup,270,10g,12g,31g
malvani masala,Masala Vada, 2 pc,100,19g,1g,5g
malvani masala,Masala Puri, 1 pc,36,8g,0g,1g
mango,1 cup, pieces,60,15g,0g,1g
mango,Champagne Mango, 1 cup (140g),110,27g,0g,0g
mango,Mango, 100 grams,63,14g,0g,1g
amchur powder,Amchur, 100 g,45,10g,0g,1g
amchur powder,Mdh, 5 g,10,1g,1g,1g
amchur powder,Swad amchur powder, 5 gm,4,1g,0g,0g
Fish fillet,White Fish Fillet, 100 g,72,0g,1g,16g
Fish fillet,Hommade Fish Fillet, 100 g,130,0g,7g,16g
Fish fillet,Fish fillet, 245 g,363,0g,25g,32g
basmati rice,Aldi Basmati Rice, 125 g,362,45g,2g,9g
basmati rice,morrisons basmati rice, 100 gram,117,25g,0g,3g
basmati rice,Carolina Basmati Rice, 0.25 cup,160,35g,0g,4g
Rose syrup,Rose Syrup, 1 oz,110,27g,0g,0g
Rose syrup,Delicious Rose Syrup, 27 ml,72,18g,0g,0g
Rose syrup,Roohafza, 30 ml,90,23g,0g,0g
Jaggery,Jaggery, 1 tsp,15,4g,0g,0g
Jaggery,Viola- Jaggery/gur, 100 gm,383,95g,0g,0g
Jaggery,Indian, 100 g,358,85g,0g,0g
